index,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,CV,Structure
0,3.1580357000000006,1.2436329,1.1060216,1.1312,77.92,-0.21236,0.02396,0.23631999999999997,1176.6995,0.155411,-422.593067,-422.58379400000007,-422.58285,-422.62703,34.695,CC(C)(O)C1=CC=CO1
1,3.1838908999999997,1.173756,1.0523035,1.4619,76.64,-0.22286999999999998,0.01851,0.24138,1210.2333,0.155817,-422.59163,-422.58253600000006,-422.581591,-422.625277,34.434,CC(C)(O)C1=COC=C1
2,2.4840899,1.3116776,1.0558007,1.6033,78.88,-0.19589,0.0248,0.22069,1226.8961,0.155746,-422.58597699999996,-422.576376,-422.57543200000003,-422.62078399999996,34.719,CC(C)C1=C(O)C=CO1
3,2.4282482000000005,1.5023706000000001,0.9739403,1.165,78.88,-0.2137,0.015819999999999997,0.22951999999999997,1221.2049,0.156027,-422.588618,-422.579213,-422.57826900000003,-422.62324,34.394,CC(O)C1=C(C)C=CO1
4,2.5380186,1.4140995,0.9536975000000001,1.0674,78.38,-0.21149,0.01679,0.22828,1237.6017,0.156107,-422.59088899999995,-422.58156799999995,-422.580624,-422.625196,34.327,CC(O)C1=C(C)OC=C1
5,4.0319511,0.9224261999999999,0.8974236999999999,1.9674,78.88,-0.19835999999999998,0.026410000000000003,0.22476999999999997,1389.1963,0.155838,-422.58564800000005,-422.57615300000003,-422.575209,-422.62015199999996,34.72,CC(C)C1=CC(O)=CO1
6,4.1381576,0.9181071,0.8900790000000001,1.6933,79.36,-0.21689,0.017669999999999998,0.23456,1410.1485,0.155825,-422.591051,-422.581494,-422.58055,-422.62581500000005,34.524,CC(O)C1=CC(C)=CO1
7,3.1814682,1.0646905,0.9559594000000001,1.8513,79.77,-0.21153000000000002,0.01646,0.22799,1327.4894,0.155718,-422.594906,-422.585354,-422.58440999999993,-422.629688,34.488,CC(O)C1=CC=C(C)O1
8,3.6403997,0.9393014000000001,0.8768375,1.8808,79.16,-0.21648,0.016630000000000002,0.23310999999999998,1411.4237,0.155594,-422.591501,-422.58183399999996,-422.58089,-422.626479,34.665,CC(O)C1=COC(C)=C1
9,2.4490487,1.3356107,0.9812628000000001,1.5814,77.41,-0.21916,0.02141,0.24056999999999998,1245.4641,0.156167,-422.588909,-422.579551,-422.57860700000003,-422.62314100000003,34.282,CC(O)C1=COC=C1C
10,4.1200426,0.9620429,0.9330492,1.2676,78.97,-0.20060999999999998,0.029689999999999998,0.2303,1335.0870000000002,0.155781,-422.578059,-422.56891399999995,-422.56797,-422.61329900000004,33.29,CC(C)OC1=CC=CO1
11,4.2859655,0.964075,0.8300358,1.9721,78.91,-0.22165,0.01179,0.23344,1400.0528,0.156973,-422.590913,-422.58205,-422.581106,-422.62498200000005,32.986999999999995,CC(O)CC1=CC=CO1
12,4.227760900000001,0.9406155999999999,0.8454208000000001,1.1432,77.97,-0.20521,0.02535,0.23056,1407.8474,0.156174,-422.5711,-422.56212300000004,-422.561179,-422.60508799999997,33.258,CC(C)OC1=COC=C1
13,4.2641925,0.9095078999999999,0.8175835,0.912,77.85,-0.22543000000000002,0.01157,0.237,1425.7898,0.15700999999999998,-422.58735700000005,-422.578451,-422.577507,-422.62145999999996,33.037,CC(O)CC1=COC=C1
14,2.1959287,1.6012072,0.9422411,0.782,81.27,-0.18724000000000002,0.03381,0.22105,1260.8839,0.154367,-422.597094,-422.586735,-422.58579100000003,-422.63244199999997,36.194,CC1=C(C)C(O)=C(C)O1
15,2.6168366,1.2161442,1.0463857,1.7207,77.95,-0.21281,0.02273,0.23554,1238.4575,0.156655,-422.584671,-422.57541399999997,-422.57447,-422.619427,33.387,CC(CO)C1=CC=CO1
16,3.9468604,0.9274732,0.9222235000000001,1.4967,78.38,-0.22233000000000003,0.01296,0.23529,1377.0783,0.15667999999999999,-422.58632800000004,-422.57716600000003,-422.576222,-422.620853,33.352,CCC(O)C1=CC=CO1
17,3.7721565999999997,1.0496352,0.8724348,0.9048,78.86,-0.21270999999999998,0.02254,0.23525,1352.8865,0.156049,-422.56907800000005,-422.559821,-422.55887699999994,-422.604005,33.043,COC(C)C1=CC=CO1
18,2.618057,1.2001214,0.9800681,1.733,77.03,-0.2295,0.0115,0.241,1262.7114,0.157129,-422.58413499999995,-422.575104,-422.57415999999995,-422.61861,33.094,CC(CO)C1=COC=C1
19,3.9317212999999995,0.9053996,0.8602249,1.7971,77.61,-0.21999000000000002,0.02181,0.2418,1416.9047,0.156697,-422.58250999999996,-422.573374,-422.57243,-422.617053,33.34,CCC(O)C1=COC=C1
20,3.7404995999999997,0.9382252000000001,0.9090222,1.3308,78.02,-0.22146,0.0214,0.24286,1376.5034,0.156096,-422.56662400000005,-422.55736500000006,-422.556421,-422.60170899999997,33.025999999999996,COC(C)C1=COC=C1
21,2.8541058999999995,1.2434947,0.9125814,1.5290000000000001,79.54,-0.21108000000000002,0.017419999999999998,0.2285,1294.6487,0.155906,-422.588556,-422.578821,-422.57787699999994,-422.62335099999996,34.694,CC1=COC(CO)=C1C
22,3.042786,1.1801621999999998,0.9075671000000001,1.0168,80.04,-0.1956,0.030239999999999996,0.22584,1329.3759,0.155585,-422.588546,-422.57875700000005,-422.577812,-422.62355099999996,34.986,CCC1=C(O)C(C)=CO1
23,3.0704477999999997,1.2424418,0.9192058000000001,0.937,80.08,-0.19229000000000002,0.03765,0.22994,1302.3162,0.155103,-422.57624000000004,-422.566294,-422.565349,-422.611659,34.7,COC1=C(C)C(C)=CO1
24,2.2738118,1.3207071000000001,0.8905322,2.2680000000000002,81.35,-0.20959,0.014469999999999998,0.22405999999999998,1339.7293,0.155595,-422.593209,-422.58337300000005,-422.582429,-422.62831500000004,34.796,CC1=CC(C)=C(CO)O1
25,2.2283842000000003,1.3598299999999999,0.8943413,0.8952,80.89,-0.19038,0.02804,0.21841999999999998,1337.3089,0.15548900000000002,-422.59148899999997,-422.58176100000003,-422.58081699999997,-422.626308,34.957,CCC1=C(O)C=C(C)O1
26,2.2624714,1.4377276,0.9155843000000001,1.1564,81.4,-0.18941,0.034460000000000005,0.22387,1311.1305,0.15504400000000002,-422.57894500000003,-422.569012,-422.568067,-422.61432300000007,34.62,COC1=C(C)C=C(C)O1
27,3.1422024,1.1243135,0.8653636,1.4980000000000002,80.77,-0.20284000000000002,0.01895,0.22179000000000001,1356.6125,0.155828,-422.593233,-422.583534,-422.58259000000004,-422.627938,34.656,CC1=CC(CO)=C(C)O1
28,2.4079701,1.3397091,0.8749593000000001,1.5069,82.01,-0.18416,0.027739999999999997,0.2119,1345.8874,0.154971,-422.57581100000004,-422.56587,-422.56492599999996,-422.61120800000003,34.655,COC1=C(C)OC(C)=C1
29,2.0504318,1.6063124,0.9619549000000001,1.0441,79.4,-0.21197,0.0219,0.23387,1242.3647,0.155953,-422.59182999999996,-422.58212199999997,-422.58117699999997,-422.626452,34.696,CC1=C(CO)C(C)=CO1
30,1.9932758999999998,1.7536601000000003,0.9927957000000001,1.2987,79.62,-0.20392000000000002,0.02775,0.23167,1222.8168,0.155052,-422.572063,-422.562143,-422.56119900000004,-422.607192,34.625,COC1=C(C)OC=C1C
31,1.8301952000000001,1.6443466,0.9539187,1.0814,78.71,-0.21288,0.01426,0.22714,1263.9859,0.156932,-422.584553,-422.57524299999994,-422.574299,-422.61935800000003,33.491,CCC1=C(CO)C=CO1
32,1.7822029,1.6447636000000003,0.9500516999999999,1.306,78.79,-0.21603000000000003,0.01206,0.22809000000000001,1272.6329,0.156849,-422.583033,-422.573667,-422.572722,-422.61815599999994,33.513000000000005,CCC1=C(CO)OC=C1
